project_id,verdict,reason,primary_repo,commit,delivered_date,n_delivery_files,own_org_repos,shared_repos,planned_pm
anchor,INCLUDED,single separable primary repo + dated delivery,https://github.com/ff13dfly/Anchor,,2023-03-13,1,ff13dfly/Anchor,,1.00
apron-network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Apron-Network/apron-node,,2021-03-09,1,Apron-Network/apron-node;Apron-Network/materials;Apron-Network/apron-contracts;Apron-Network/apron-marketplace-demo;Apron-Network/dashboard-static;Apron-Network/apron_gateway,w3f/General-Grants-Program;w3f/Open-Grants-Program,12.00
ares_protocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/aresprotocols/ares-module,,2021-03-09,1,aresprotocols/ares-module,w3f/Open-Grants-Program,
ArtZero_InkWhale,INCLUDED,single separable primary repo + dated delivery,https://github.com/ArtZero-io/Contracts,,2023-04-01,2,ArtZero-io/Contracts;ArtZero-io/frontend-react;ArtZero-io/backend;InkWhale-net/contracts;InkWhale-net/backend;InkWhale-net/frontend,,20.00
assemblyscript-scale-codec,INCLUDED,single separable primary repo + dated delivery,https://github.com/LimeChain/as-scale-codec,,2020-06-08,1,LimeChain/as-scale-codec,w3f/Open-Grants-Program,
asylum,EXCLUDED,no project repo referenced,,,2022-09-09,3,,,
Awesome-Polka,INCLUDED,single separable primary repo + dated delivery,https://github.com/tolgayayci/awesome-polka,,2023-05-08,1,tolgayayci/awesome-polka,,
BandersnatchVRF,INCLUDED,single separable primary repo + dated delivery,https://github.com/Esscrypt/bandersnatch-vrf,,2025-12-19,1,Esscrypt/bandersnatch;Esscrypt/bandersnatch-vrf,,
bit_country,INCLUDED,single separable primary repo + dated delivery,https://github.com/bit-country/Bit-Country-Blockchain,,2021-12-07,2,bit-country/Bit-Country-Blockchain;bit-country/Metaverse-Network;bit-country/Bit-Country-Dapp,w3f/Open-Grants-Program,5.00
blackprint_js,INCLUDED,single separable primary repo + dated delivery,https://github.com/Blackprint/Blackprint,,2022-09-01,3,Blackprint/nodes-polkadot.js;Blackprint/Blackprint,,
bright_tresury,INCLUDED,single separable primary repo + dated delivery,https://github.com/bright/bright-tresury,,2021-12-29,3,bright/bright-tresury,w3f/General-Grants-Program;w3f/Open-Grants-Program,
calamar,INCLUDED,single separable primary repo + dated delivery,https://github.com/topmonks/calamar,76954c810465eafaab7755d7c19308cc36726d17,2024-01-02,3,topmonks/calamar,polkadot-js/apps,1.66
candle_auction_ink,INCLUDED,single separable primary repo + dated delivery,https://github.com/agryaznov/candle-auction-ink,,2022-03-09,3,agryaznov/candle-auction-ink;agryaznov/substrate-docs,substrate-developer-hub/substrate-docs,1.00
canyon_network_phrase,INCLUDED,single separable primary repo + dated delivery,https://github.com/canyon-network/canyon,,2021-08-27,1,canyon-network/canyon;canyon-network/canyon-cli,,1.50
centrifuge-gsrpc-v2,INCLUDED,single separable primary repo + dated delivery,https://github.com/centrifuge/go-substrate-rpc-client,,2023-06-29,2,centrifuge/go-substrate-rpc-client,,
Cere_Turnkey_Private_Blockchain_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Cerebellum-Network/private-standalone-network-node,,2021-01-16,2,Cerebellum-Network/private-standalone-network-node;Cerebellum-Network/cere-enterprise-smart-contracts,w3f/General-Grants-Program;w3f/Open-Grants-Program,
ces_data_store,INCLUDED,single separable primary repo + dated delivery,https://github.com/CESSProject/data-store-pallet,,2022-06-25,3,CESSProject/data-store-pallet;CESSProject/data-store-sidecar;CESSProject/CIPs;CESSProject/cess,,6.00
CESS,INCLUDED,single separable primary repo + dated delivery,https://github.com/Cumulus2021/cess,,2022-01-15,3,Cumulus2021/cess;CESSProject/cess;CESSProject/cess-proving-system;CESSProject/storage-mining-tool;CESSProject/cess-ui-js;CESSProject/web-app,,8.00
chainviz,INCLUDED,single separable primary repo + dated delivery,https://github.com/helikon-labs/chainviz,,2023-09-19,1,helikon-labs/chainviz,,1.60
choko-wallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/choko-wallet/wallet-app,,2022-11-15,1,choko-wallet/wallet-app;choko-wallet/sdk;skyekiwi/skyekiwi-protocol,,15.00
CILA-omnichain-infrastructure,INCLUDED,single separable primary repo + dated delivery,https://github.com/Collective-Intelligence-Labs/cila-substrate,,2023-08-14,1,Collective-Intelligence-Labs/cila-substrate,,6.00
citadel,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2023-01-18,1,,w3f/General-Grants-Program;w3f/Open-Grants-Program,
clover_january21,INCLUDED,single separable primary repo + dated delivery,https://github.com/clover-network/clover,,2021-02-02,1,clover-network/clover-rosetta-service;clover-network/clover;clover-network/clover-explorer;clover-network/clover-store-core;clover-network/clover-mobile-wallet;clover-network/clover-mulichain-wallet,w3f/General-Grants-Program;w3f/Open-Grants-Program,34.50
Cogency,INCLUDED,single separable primary repo + dated delivery,https://github.com/CogencyWeb3/Web3MediaPilot,,2023-03-14,2,CogencyWeb3/Web3MediaPilot,,
CoinFabrik_On_Ink_Integration_Tests,INCLUDED,single separable primary repo + dated delivery,https://github.com/CoinFabrik/on-ink-integration-tests,,2023-12-06,3,CoinFabrik/on-ink-integration-tests;your-repo/pull;your-repo/issue,paritytech/ink;paritytech/cargo-contract;paritytech/substrate-contracts-node,
contracts-tool,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2024-05-22,2,,paritytech/smart-bench,2.10
Contract_wizard,INCLUDED,single separable primary repo + dated delivery,https://github.com/protofire/polkadot-contract-wizard,,2023-11-24,1,protofire/polkadot-contract-wizard;protofire/cw_docs,,7.50
CoongWallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/CoongCrafts/coong-wallet,,2023-06-15,2,CoongCrafts/coong-wallet;CoongCrafts/playground-dapp,,7.50
CosmWasmVM_CoreProduct,INCLUDED,single separable primary repo + dated delivery,https://github.com/CosmWasm/cosmwasm,,2023-09-13,1,CosmWasm/cosmwasm;ComposableFi/composable;ComposableFi/cosmwasm-vm,paritytech/wasmi,
c++polkadot-light-client,INCLUDED,single separable primary repo + dated delivery,https://github.com/eqlabs/polkadot-light-client,,2022-09-26,1,eqlabs/polkadot-light-client-spec;eqlabs/polkadot-light-client;eqlabs/cpp-libp2p;eqlabs/scale-codec-cpp;eqlabs/soralog;eqlabs/libp2p-sqlite-modern-cpp,,
create-substrate-app,INCLUDED,single separable primary repo + dated delivery,https://github.com/philoniare/create-substrate-app,,2024-03-05,1,philoniare/create-substrate-app,,1.00
crossbow,INCLUDED,single separable primary repo + dated delivery,https://github.com/dodorare/crossbow,7da4f92d7b1cc0ad2fbf6ed7f4765d8c473ac04e,2022-09-14,3,dodorare/crossbow;dodorare/android-tools-rs,,17.50
cryptex,INCLUDED,single separable primary repo + dated delivery,https://github.com/ideal-lab5/smoldot,,2023-10-19,3,ideal-lab5/smoldot;ideal-lab5/substrate-connect;ideal-lab5/etf.js;ideal-lab5/etf-cli;ideal-lab5/etf-sdk;ideal-lab5/contracts,,4.50
cryptolab-staking-reward-collector-front-end,INCLUDED,single separable primary repo + dated delivery,https://github.com/cryptolab-network/chain-data-collector,,2021-06-29,1,cryptolab-network/chain-data-collector;cryptolab-network/cryptolab-web-server;cryptolab-network/polkadot-staking-site;cryptolab-network/cryptolab-package,w3f/General-Grants-Program;w3f/Open-Grants-Program,
cScale,INCLUDED,single separable primary repo + dated delivery,https://github.com/MatthewDarnell/cScale,,2021-11-23,1,MatthewDarnell/cScale,,
curve_amm,INCLUDED,single separable primary repo + dated delivery,https://github.com/equilibrium-eosdt/equilibrium-curve-amm,,2021-05-20,2,equilibrium-eosdt/equilibrium-curve-amm,w3f/General-Grants-Program;w3f/Open-Grants-Program,
cyborg,INCLUDED,single separable primary repo + dated delivery,https://github.com/Cyborg-Network/cyborg-parachain,9685a55711b2e1ec63fdbc6603965e7b3784f8d6,2024-08-10,1,Cyborg-Network/cyborg-parachain;Cyborg-Network/Worker,,4.00
cyclops,INCLUDED,single separable primary repo + dated delivery,https://github.com/ArthurHoeke/cyclops,,2023-04-16,3,ArthurHoeke/cyclops,,3.00
da_comparative_study,INCLUDED,single separable primary repo + dated delivery,https://github.com/Chainscore/DA-Research,,2025-11-11,1,Chainscore/DA-Research,,8.00
Dante_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/dantenetwork/protocol-stack-for-ink,,2022-11-18,2,dantenetwork/protocol-stack-for-ink;dantenetwork/Pitch-Deck;dantenetwork/ink-sdk;dantenetwork/cross-chain-demo;dantenetwork/message-ink;dantenetwork/ink-test-router,,18.00
dao-entrance-phase,INCLUDED,single separable primary repo + dated delivery,https://github.com/dao-entrance/dao-entrance-node,,2023-03-31,2,dao-entrance/dao-entrance-node;dao-entrance/app;dao-entrance/org-node,,4.00
daos,INCLUDED,single separable primary repo + dated delivery,https://github.com/daos-org/daos,,2022-11-30,2,daos-org/daos;DICO-TEAM/dico-chain,,12.00
DAOsign,INCLUDED,single separable primary repo + dated delivery,https://github.com/DAOsign/polkadot-smart-contracts,,2024-11-18,3,DAOsign/polkadot-smart-contracts;DAOsign/daosign-ink-js-sdk;DAOsign/frontend;user-attachments/assets;DAOsign/relayer,,4.00
dapp_wallet_integration_native_mobile_libraries,INCLUDED,single separable primary repo + dated delivery,https://github.com/tesseract-one/Tesseract.android,,2024-01-30,4,tesseract-one/Tesseract.android;tesseract-one/dev-wallet.kotlin;tesseract-one/dev-wallet;tesseract-one/Tesseract.swift;tesseract-one/dev-wallet.swift;tesseract-one/polkachat.kotlin,,
dart-scale-codec,INCLUDED,single separable primary repo + dated delivery,https://github.com/nbltrust/dart-scale-codec,,2020-11-18,1,nbltrust/dart-scale-codec,w3f/Open-Grants-Program,26.50
Datagen_Project,INCLUDED,single separable primary repo + dated delivery,https://github.com/Datagen-Project/Datagen-Substrate-Grant,,2022-10-22,1,Datagen-Project/Datagen-Substrate-Grant,,10.00
data_platform_with_deep_indexed_data_and_staking_reports,INCLUDED,single separable primary repo + dated delivery,https://github.com/p2p-org/polkadot-grant,,2023-10-25,1,p2p-org/polkadot-grant;p2p-org/polkadot-grant-dags,,300.00
datdot,INCLUDED,single separable primary repo + dated delivery,https://github.com/playproject-io/datdot-service,,2022-03-19,1,playproject-io/datdot-service,w3f/General-Grants-Program,
dauth_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/DAuth-Network/instant-proof,,2024-02-05,1,DAuth-Network/instant-proof;keysafe-protocol/keysafe-app;DAuth-Network/dauth,,24.00
Decentralised_Security_Marketplace,INCLUDED,single separable primary repo + dated delivery,https://github.com/ParthChaudhary31/Security_Marketplace_Smartcontract,,2023-09-08,1,ParthChaudhary31/Security_Marketplace_Smartcontract;ParthChaudhary31/Security_Marketplace_Backend;ParthChaudhary31/Security_Marketplace_Frontend,,
Decentralized_Threshold_Signing_Service,INCLUDED,single separable primary repo + dated delivery,https://github.com/Fiono11/decentralized_threshold_signing_service,,2025-11-27,3,Fiono11/decentralized_threshold_signing_service,,3.00
decentralml,INCLUDED,single separable primary repo + dated delivery,https://github.com/livetreetech/DecentralML,,2023-12-19,1,livetreetech/DecentralML,,5.00
deeper_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/deeper-chain/deeper-chain,,2023-01-18,1,deeper-chain/deeper-chain;atomos-dev/control-plane,,5.00
deip,INCLUDED,single separable primary repo + dated delivery,https://github.com/DEIPworld/deip-polkadot,,2021-05-20,1,DEIPworld/deip-polkadot,w3f/General-Grants-Program;w3f/Open-Grants-Program,9.00
Deitos_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Deitos-Network/deitos-ip,,2024-03-13,2,Deitos-Network/deitos-ip;Deitos-Network/deitos-node;Deitos-Network/deitos-cli;Deitos-Network/deitos-gate;Deitos-Network/deitos-verifier,,
delightfuldot,INCLUDED,single separable primary repo + dated delivery,https://github.com/CoongCrafts/delightfuldot,,2024-03-21,2,CoongCrafts/delightfuldot;sinzii/delightfuldot-poc;dedotdev/dedot,paritytech/zombienet,9.00
delmonicos,INCLUDED,single separable primary repo + dated delivery,https://github.com/Delmonicos/charger-node,,2022-02-23,3,Delmonicos/charger-node;Delmonicos/pallet-did;Delmonicos/charging-management-platform;Delmonicos/user-frontend,w3f/General-Grants-Program;w3f/Open-Grants-Program,3.00
democratic-governance,INCLUDED,single separable primary repo + dated delivery,https://github.com/encointer/pallets,,2024-01-18,1,encointer/pallets;encointer/encointer-node;pifragile/personhood-democracy-1-submission,,
DIA_Bridgestate,INCLUDED,single separable primary repo + dated delivery,https://github.com/diadata-org/bridgestate-ocw,,2023-08-07,2,diadata-org/bridgestate-ocw,,
Diffy_messenger_st1_ms1,INCLUDED,single separable primary repo + dated delivery,https://github.com/Belsoft-rs/diffychat-pallet,,2023-04-17,1,Belsoft-rs/diffychat-pallet;Belsoft-rs/diffychat-dotrtc,,
Diffy_messenger_st1_ms2,INCLUDED,single separable primary repo + dated delivery,https://github.com/Belsoft-rs/diffychat-pallet,,2023-07-07,1,Belsoft-rs/diffychat-pallet;Belsoft-rs/diffychat-client,,
DINFRA,EXCLUDED,no project repo referenced,,,2023-12-06,2,,,3.50
dipole-oracle-millestone,INCLUDED,single separable primary repo + dated delivery,https://github.com/DipoleTech/dipole-oracle,,2020-07-13,1,DipoleTech/dipole-oracle,w3f/Open-Grants-Program,
distributed_cryptography_for_polkadot_wallets,INCLUDED,single separable primary repo + dated delivery,https://github.com/perun-network/polkadot-wallet-grant,,2025-05-10,3,perun-network/polkadot-wallet-grant,,9.06
distributedKeyManagement,INCLUDED,single separable primary repo + dated delivery,https://github.com/KryptikApp/swordExample,,2023-03-26,1,KryptikApp/swordExample,,1.20
DistrubutedKeyManagement,INCLUDED,single separable primary repo + dated delivery,https://github.com/KryptikApp/sword,,2022-12-09,1,KryptikApp/sword,,
DKSAP,INCLUDED,single separable primary repo + dated delivery,https://github.com/GreenLemonProtocol/dksap-polkadot,,2022-07-17,1,GreenLemonProtocol/dksap-polkadot,,
dora-factory-multisig,INCLUDED,single separable primary repo + dated delivery,https://github.com/DoraFactory/dorafactory-multisig,,2022-03-28,1,DoraFactory/dorafactory-multisig,w3f/General-Grants-Program,2.00
Doter,INCLUDED,single separable primary repo + dated delivery,https://github.com/ChainBridgeNetworkTeam/Doter,,2021-07-15,2,ChainBridgeNetworkTeam/Doter,w3f/General-Grants-Program;w3f/Open-Grants-Program,
dotflow,INCLUDED,single separable primary repo + dated delivery,https://github.com/TheDotflow/dotflow-ink,,2023-09-13,2,TheDotflow/dotflow-ink;TheDotflow/dotflow-ui;colorfulnotion/xcm-global-registry,,
dot-login,INCLUDED,single separable primary repo + dated delivery,https://github.com/singkeo/dot-login,,2024-07-23,1,singkeo/dot-login-substrate-node;singkeo/dot-login,,18.00
dotly,INCLUDED,single separable primary repo + dated delivery,https://github.com/justmert/dotly-backend,,2023-09-28,1,justmert/dotly-backend;justmert/dotly-frontend,,2.00
dot_marketplace,INCLUDED,single separable primary repo + dated delivery,https://github.com/WowLabz/dot_marketplace_docker,,2021-12-03,3,WowLabz/tasking_backend;WowLabz/tasking_frontend;WowLabz/authentication_service;WowLabz/dot_marketplace_docker,w3f/General-Grants-Program,11.82
dot_marketplace-Phase3,INCLUDED,single separable primary repo + dated delivery,https://github.com/WowLabz/dot-marketplace-v2,,2023-01-06,3,WowLabz/dot-marketplace-v2;WowLabz/dot_marketplace_docker;WowLabz/tasking_frontend;WowLabz/dot_marketplace_file_server,w3f/General-Grants-Program,4.78
dot_marketplace_v2,INCLUDED,single separable primary repo + dated delivery,https://github.com/WowLabz/dot-marketplace-v2,,2022-05-11,2,WowLabz/tasking_backend;WowLabz/dot-marketplace-v2;WowLabz/dot_marketplace_docker,w3f/General-Grants-Program,4.78
dotmog,INCLUDED,single separable primary repo + dated delivery,https://github.com/dotmog/SubstrateNetApi,,2021-05-02,3,darkfriend77/SubstrateNetApi;dotmog/SubstrateNetApi;dotmog/pallet-dotmog;dotmog/Unity3DExample;dotmog/SubstrateUnityWalletSimple,w3f/General-Grants-Program;w3f/Open-Grants-Program,2.00
dotnix,INCLUDED,single separable primary repo + dated delivery,https://github.com/sporyon/dotnix-core,,2024-08-08,2,sporyon/dotnix-core,,
dotnix_followup,INCLUDED,single separable primary repo + dated delivery,https://github.com/sporyon/dotnix-core,88d566372d584b699bb92b45862a8191ff7fe4de,2026-03-11,2,sporyon/dotnix-core,,
DotPay,INCLUDED,single separable primary repo + dated delivery,https://github.com/bytepayment/bytepay,,2022-03-11,2,bytepayment/bytepay;bytepayment/bytepaytest,,
dotpulse,INCLUDED,single separable primary repo + dated delivery,https://github.com/CrossChainLabs-DOT/dotpulse-api,,2022-12-13,2,CrossChainLabs-DOT/dotpulse-api;CrossChainLabs-DOT/dotpulse-scraper;CrossChainLabs-DOT/dotpulse-webapp,,
eiger-PNS,INCLUDED,single separable primary repo + dated delivery,https://github.com/eigerco/polkadot-native-storage,,2023-10-23,1,eigerco/polkadot-native-storage,,
eightfish,INCLUDED,single separable primary repo + dated delivery,https://github.com/eightfish-org/eightfish,,2023-05-11,2,eightfish-org/eightfish;eightfish-org/eightfish-example-todo,,4.00
ElasticLabs_PolakdotAgentKit,INCLUDED,single separable primary repo + dated delivery,https://github.com/elasticlabs-org/polkadot-agent-kit,edb75aaf1d2d1f999b62425642bd39b3d4b27203,2025-11-17,3,elasticlabs-org/polkadot-agent-kit;elasticlabs-org/polkadot-agent-kit-docs;openguild-labs/polkadot-agent-kit,,6.00
eliza-plugin-dot,INCLUDED,single separable primary repo + dated delivery,https://github.com/ChainSupport/eliza-plugin-dot,,2025-11-08,1,ChainSupport/eliza-plugin-dot;ChainSupport/eliza-dot-aes;ChainSupport/eliza,,1.50
ElizaPolkadotPlugin,INCLUDED,single separable primary repo + dated delivery,https://github.com/elizaOS/eliza,,2025-07-19,1,Esscrypt/plugin-polkadot;elizaos-plugins/registry;elizaOS/eliza,,1.50
epirus_substrate_explorer,INCLUDED,single separable primary repo + dated delivery,https://github.com/web3labs/epirus-substrate,,2022-08-05,1,web3labs/epirus-substrate,,6.00
epirus_substrate_explorer-phase2,INCLUDED,single separable primary repo + dated delivery,https://github.com/web3labs/epirus-substrate,,2022-12-08,1,web3labs/ink-verifier-server;web3labs/ink-verifier-image;web3labs/epirus-substrate,,6.00
epirus_substrate-phase2,INCLUDED,single separable primary repo + dated delivery,https://github.com/web3labs/epirus-substrate,,2023-02-10,1,web3labs/ink-verifier-server;web3labs/epirus-substrate,,6.00
escrow,INCLUDED,single separable primary repo + dated delivery,https://github.com/herou/EscrowPallet,,2022-10-14,2,herou/EscrowPallet,,
Evanesco_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Evanesco-Labs/WhiteNoise.rs,,2021-09-17,2,Evanesco-Labs/WhiteNoise.rs;Evanesco-Labs/WhiteNoise-RPC,w3f/General-Grants-Program;w3f/Open-Grants-Program,9.00
Faceless,INCLUDED,single separable primary repo + dated delivery,https://github.com/HeisenbergLin22/Faceless_milestone2_delivery,,2022-12-14,1,HeisenbergLin22/Faceless_milestone2_delivery,w3f/General-Grants-Program,6.00
faceless_delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/HeisenbergLin22/Faceless_milestone1,,2023-01-18,1,HeisenbergLin22/Faceless_milestone1,w3f/General-Grants-Program,6.00
fair_squares,INCLUDED,single separable primary repo + dated delivery,https://github.com/Fair-Squares/fair-squares,,2023-03-21,5,Fair-Squares/fair-squares;Fair-Squares/fs-dapp,,12.00
faterium,INCLUDED,single separable primary repo + dated delivery,https://github.com/faterium/faterium-node,,2023-01-26,2,faterium/faterium-node;faterium/faterium-server;faterium/faterium-dapp,,
Faucet,INCLUDED,single separable primary repo + dated delivery,https://github.com/karooolis/sybil-resistant-substrate-faucet,,2023-01-18,1,karooolis/sybil-resistant-substrate-faucet,,1.00
faucet-bot,INCLUDED,single separable primary repo + dated delivery,https://github.com/StringNick/sybil-resistant-chat-bot-substrate-faucet,,2023-07-29,1,StringNick/sybil-resistant-chat-bot-substrate-faucet;centrifuge/go-substrate-rpc-client,,2.25
fennel-protocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/fennelLabs/Fennel-Protocol,,2022-04-26,3,fennelLabs/Fennel-Protocol;fennelLabs/fennel-lib;fennelLabs/fennel-cli;fennelLabs/fennel-server,,9.00
FIAT-on-off-ramp,INCLUDED,single separable primary repo + dated delivery,https://github.com/element36-io/ebics-java-service,,2023-05-08,3,element36-io/ebics-java-service;element36-io/ocw-ebics,w3f/Open-Grants-Program,9.00
fidi-dotsight,INCLUDED,single separable primary repo + dated delivery,https://github.com/fidi-tech/dotsight,12280b45f5f1ddd855d6b91eaee4abbf1916f534,2024-04-05,3,fidi-tech/dotsight;fidi-tech/dotsight-ui,,
fractapp,INCLUDED,single separable primary repo + dated delivery,https://github.com/fractapp/fractapp,,2021-11-25,3,fractapp/fractapp;fractapp/fractapp-server;fractapp/staking-bot;fractapp/scanner,w3f/Open-Grants-Program,10.50
FuturProtocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/RELAI-Network/relai-network,,2024-04-05,1,RELAI-Network/relai-network;RELAI-Network/futurstore-app;MobSF/Mobile-Security-Framework-MobSF;RELAI-Network/sast-dast-gateway;RELAI-Network/futur-console-react;RELAI-Network/relai-fn,,
Gafi,INCLUDED,single separable primary repo + dated delivery,https://github.com/cryptoviet/gafi,,2022-11-24,3,cryptoviet/gafi;grindytech/gafi;grindytech/gafi-test,,13.80
galaxy,INCLUDED,single separable primary repo + dated delivery,https://github.com/7flash/galaxy-polkadot,f97d5e2e5eab3322782f72d3b469d11cbf7e94a9,2023-09-28,2,7flash/galaxy-polkadot;7flash/galaxy-polkadot-contract;7flash/galaxy-desktop-app;7flash/galaxydraw;7flash/galaxy-dist;7flash/webui,,1.00
GenesisDAO,INCLUDED,single separable primary repo + dated delivery,https://github.com/deep-ink-ventures/genesis-dao-node,,2023-05-23,3,deep-ink-ventures/genesis-dao-node;deep-ink-ventures/genesis-dao-frontend;deep-ink-ventures/genesis-dao-service,,
gluon,INCLUDED,single separable primary repo + dated delivery,https://github.com/tearust/gluon-website,,2021-06-07,2,tearust/gluon-website;tearust/gluon-app;tearust/gluon-pallet;tearust/tea-layer1,w3f/General-Grants-Program;w3f/Open-Grants-Program,12.50
grant_management_webapp,INCLUDED,single separable primary repo + dated delivery,https://github.com/antiers-solutions/gmw-frontend,,2023-08-09,1,antiers-solutions/gmw-frontend;antiers-solutions/gmw-backend,,
grantmaster,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zaniyar/grantmaster,,2024-01-02,1,Zaniyar/grantmaster,,3.00
GreenLemon,INCLUDED,single separable primary repo + dated delivery,https://github.com/GreenLemonProtocol/dksap-polkadot,,2022-10-18,2,GreenLemonProtocol/dksap-polkadot;GreenLemonProtocol/ink,,
halva_bootstrapping,INCLUDED,single separable primary repo + dated delivery,https://github.com/halva-suite/halva,,2020-10-06,1,halva-suite/halva;halva-suite/halva-test-example,w3f/Open-Grants-Program,
halva-framework,INCLUDED,single separable primary repo + dated delivery,https://github.com/halva-suite/halva,,2020-08-14,1,halva-suite/halva-test-example;halva-suite/halva,w3f/Open-Grants-Program,
hamster-millestone,INCLUDED,single separable primary repo + dated delivery,https://github.com/hamster-shared/hamster,,2022-05-07,2,hamster-shared/hamster;hamster-shared/hamster-doc;hamster-shared/hamster-client;hamster-shared/hamster-provider;hamster-shared/frontend;hamster-shared/hamster-gateway,w3f/General-Grants-Program,8.00
hex-space-social-graph,INCLUDED,single separable primary repo + dated delivery,https://github.com/rust-0x0/hex-space-protocol-substrate,9123f9503f45a89958bef6c96eb308b82dd7f3a6,2022-07-12,1,rust-0x0/hex-space-protocol-substrate;rust-0x0/hex-space-protocol-front-end;rust-0x0/hex-space-protocol-docs,,1.00
High-Availability validator setup,INCLUDED,single separable primary repo + dated delivery,https://github.com/tikv/tikv,,2023-07-11,3,tikv/tikv;bright/substrate-raft-setup;bright/substrate-raft,,
hs-web3,INCLUDED,single separable primary repo + dated delivery,https://github.com/airalab/hs-web3,,2021-08-19,4,airalab/hs-web3,w3f/Open-Grants-Program,
hybrid,INCLUDED,single separable primary repo + dated delivery,https://github.com/hybrid-explorer/hybrid-indexer,,2023-08-07,3,hybrid-explorer/hybrid-indexer;hybrid-explorer/hybrid-dapp;hybrid-explorer/polkadot-indexer,,
hybrid2,INCLUDED,single separable primary repo + dated delivery,https://github.com/hybrid-explorer/hybrid-indexer,a15b1ce1a4e40546e22e818d034880ca37187a60,2024-03-20,4,hybrid-explorer/hybrid-indexer;hybrid-explorer/polkadot-indexer;hybrid-explorer/hybrid-api-rs;hybrid-explorer/hybrid-cli,paritytech/subxt,
hybrid-node-research,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zondax/mayon,,2023-03-19,1,Zondax/mayon,,
Hyperdot,INCLUDED,single separable primary repo + dated delivery,https://github.com/Infra3-Network/hyperdot-node,,2024-01-15,2,colorfulnotion/substrate-etl;Infra3-Network/hyperdot-node;Infra3-Network/hyperdot-fronted,,
hyperfridge,INCLUDED,single separable primary repo + dated delivery,https://github.com/element36-io/hyperfridge-r0,,2026-01-28,5,element36-io/hyperfridge-r0;element36-io/ebics-java-service;element36-io/ocw-ebics,,9.00
