project_id,repo_url,application_url,n_delivery_files,planned_fte,planned_duration_months,planned_cost_usd,planned_pm,team_size,sum_milestone_duration_months,n_milestone_fte_mentions,documented_pm_explicit,effort_phrases_raw,status,note
clover_january21,https://github.com/clover-network/clover,github.com/w3f/Grants-Program/blob/master/applications/clover_network.md,1,11.5,3,0,34.50,6,6.0,3,,8 month; 3 month; 1 month; 1 month; 1 month,OK,
Cogency,https://github.com/CogencyWeb3/Web3MediaPilot,,2,,,,,,,0,,,OK,
CoinFabrik_On_Ink_Integration_Tests,https://github.com/CoinFabrik/on-ink-integration-tests,github.com/w3f/Grants-Program/blob/master/applications/CoinFabrik_On_Ink_Integration_Tests_2.md,3,4,,30000,,4,2.76,2,,4 week; 4 week; 4 week,OK,
contracts-tool,,,2,,,,,,,,,,NO_REPO,
Contract_wizard,https://github.com/protofire/polkadot-contract-wizard,github.com/w3f/Grants-Program/blob/master/applications/inkscope-fuzzer.md,1,1.5,3,30000,4.50,2,6.0,2,,3 month; 1 month; 2 month,OK,
CoongWallet,https://github.com/CoongCrafts/coong-wallet,github.com/w3f/Grants-Program/blob/master/applications/coong_wallet.md,2,1.5,5,30000,7.50,2,10.0,2,,5 month; 2.5 month; 2.5 month,OK,
CosmWasmVM_CoreProduct,https://github.com/CosmWasm/cosmwasm,github.com/w3f/Grants-Program/blob/master/applications/CosmWasmVM-CoreProduct.md,1,1,,29700,,2,2.53,1,,8 week; 3 week,OK,
c++polkadot-light-client,https://github.com/eqlabs/polkadot-light-client,github.com/w3f/Grants-Program/blob/master/applications/c++polkadot-light-client.md,1,1,,34000,,2,2.3,1,,5 week; 5 week,OK,
create-substrate-app,https://github.com/philoniare/create-substrate-app,github.com/w3f/Grants-Program/blob/master/applications/create-substrate-app.md,1,1,1,4550,1.00,2,3.0,2,,1 month; 1 month; 1 month,OK,
crossbow,https://github.com/dodorare/crossbow,github.com/w3f/Grants-Program/blob/master/applications/crossbow.md,3,3.5,5.0,40000,17.50,5,10.0,3,,5.0 month; 1 month; 2.0 month; 2.0 month,OK,
cryptex,https://github.com/ideal-lab5/smoldot,github.com/w3f/Grants-Program/blob/master/applications/cryptex.md,3,1.5,3,30000,4.50,2,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
cryptolab-staking-reward-collector-front-end,https://github.com/cryptolab-network/chain-data-collector,github.com/w3f/Grants-Program/blob/master/applications/cryptolab-staking-reward-collector-front-end.md,1,,,,,2,,1,,15 day; 1 day; 2 day; 3 day; 2 day; 1 day; 1 day; 1 day; 0.5 day; 0.5 day; 1 day; 1 day,OK,
cScale,https://github.com/MatthewDarnell/cScale,github.com/w3f/Grants-Program/blob/master/applications/scale-codec-comparator.md,1,,3.5,12500,,1,7.96,3,,3.5 month; 2 month; 2 month; 2 week,OK,
curve_amm,https://github.com/equilibrium-eosdt/equilibrium-curve-amm,github.com/w3f/Grants-Program/blob/master/applications/curve_amm.md,2,3,,30000,,4,2.76,2,,6 week; 3 week; 3 week,OK,
cyborg,https://github.com/Cyborg-Network/cyborg-parachain,github.com/w3f/Grants-Program/blob/master/applications/Cyborg.md,1,2,2,10000,4.00,5,4.0,1,,2 month; 2 month; 3 month,OK,
cyclops,https://github.com/ArthurHoeke/cyclops,github.com/w3f/Grants-Program/blob/master/applications/cyclops.md,3,1,3,26000,3.00,2,5.69,3,,3 month; 3 week; 1 month; 1 month,OK,
da_comparative_study,https://github.com/Chainscore/DA-Research,github.com/w3f/Grants-Program/blob/master/applications/da_comparative_study.md,1,2,4,,8.00,2,8.0,4,,30 day; 4 month; 1 month; 1 month; 1 month; 1 month; 6 month; 6 month; 12 month,OK,
Dante_Network,https://github.com/dantenetwork/protocol-stack-for-ink,github.com/w3f/Grants-Program/blob/master/applications/Dante_Network.md,2,3,6,30000,18.00,21,12.0,2,,6 month; 3 month; 3 month,OK,
dao-entrance-phase,https://github.com/dao-entrance/dao-entrance-node,github.com/w3f/Grants-Program/blob/master/applications/dao-entrance-phase-1.md,2,1,4,6000,4.00,4,8.0,4,,4 month; 1 month; 1 month; 1 month; 1 month,OK,
daos,https://github.com/daos-org/daos,github.com/w3f/Grants-Program/blob/master/applications/daos.md,2,6,2,8,12.00,4,4.0,2,,2 month; 1 month; 1 month,OK,
DAOsign,https://github.com/DAOsign/polkadot-smart-contracts,github.com/w3f/Grants-Program/blob/master/applications/DAOsign.md,3,2,2,48100,4.00,4,3.84,3,,2 month; 4 week; 2 week; 2 week,OK,
dapp_wallet_integration_native_mobile_libraries,https://github.com/tesseract-one/Tesseract.android,github.com/w3f/Grants-Program/blob/master/applications/dapp_wallet_integration_native_mobile_libraries.md,4,2,,,,2,7.36,4,,16 week; 4 week; 4 week; 4 week; 4 week,OK,
dart-scale-codec,https://github.com/nbltrust/dart-scale-codec,github.com/w3f/Grants-Program/blob/master/applications/Polkadot-Dart.md,1,5.3,5,1,26.50,2,10.0,4,,5 month; 1 month; 1 month; 1.5 month; 1.5 month,OK,
Datagen_Project,https://github.com/Datagen-Project/Datagen-Substrate-Grant,github.com/w3f/Grants-Program/blob/master/applications/Datagen_Project.md,1,2,5,44000,10.00,9,7.0,3,,5 month; 5 month; 5 month; 2 month,OK,
data_platform_with_deep_indexed_data_and_staking_reports,https://github.com/p2p-org/polkadot-grant,github.com/w3f/Grants-Program/blob/master/applications/data_platform_with_deep_indexed_data_and_staking_reports.md,1,200,1.5,20000,300.00,7,3.0,1,,1.5 month; 1.5 month,OK,
datdot,https://github.com/playproject-io/datdot-service,github.com/w3f/Grants-Program/blob/master/applications/project_aurras_mvp_phase_2.md,1,4,,42880,,6,,4,27.789,528 Person Day,OK,
dauth_network,https://github.com/DAuth-Network/instant-proof,github.com/w3f/Grants-Program/blob/master/applications/dauth_network.md,1,3,8,27000,24.00,2,16.0,2,,8 month; 6 month; 2 month,OK,
Decentralised_Security_Marketplace,https://github.com/ParthChaudhary31/Security_Marketplace_Smartcontract,github.com/w3f/Grants-Program/blob/master/applications/Security_Marketplace.md,1,4,,29920,,7,,2,,12 hour; 1 week; 1 day; 14 week; 8 week; 6 week,OK,
Decentralized_Threshold_Signing_Service,https://github.com/Fiono11/decentralized_threshold_signing_service,github.com/w3f/Grants-Program/blob/master/applications/DecentralizedThresholdSigningService.md,3,1,3,30000,3.00,1,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
decentralml,https://github.com/livetreetech/DecentralML,github.com/w3f/Grants-Program/blob/master/applications/decentral_ml.md,1,2.5,2,30000,5.00,6,3.84,2,,2 month; 4 week; 4 week,OK,
deeper_network,https://github.com/deeper-chain/deeper-chain,github.com/w3f/Grants-Program/blob/master/applications/deeper_network.md,1,5,1,20000,5.00,5,1.92,1,,1 month; 4 week; 4 week,OK,
deip,https://github.com/DEIPworld/deip-polkadot,github.com/w3f/Grants-Program/blob/master/applications/deip.md,1,4.5,2,1,9.00,4,6.0,2,,2 month; 2 month; 2 month,OK,
Deitos_Network,https://github.com/Deitos-Network/deitos-ip,github.com/w3f/Grants-Program/blob/master/applications/Deitos_Network.md,2,3,,30,,4,5.52,2,,12 week; 3 month; 6 week; 6 week,OK,
delightfuldot,https://github.com/CoongCrafts/delightfuldot,github.com/w3f/Grants-Program/blob/master/applications/delightfuldot.md,2,2,4.5,30000,9.00,2,9.0,2,,4.5 month; 3 month; 1.5 month,OK,
delmonicos,https://github.com/Delmonicos/charger-node,github.com/w3f/Grants-Program/blob/master/applications/delmonicos.md,3,1,3,29,3.00,4,6.0,3,,3 month; 1 month; 3 month; 1 month; 1 month; 1 month,OK,
democratic-governance,https://github.com/encointer/pallets,github.com/w3f/Grants-Program/blob/master/applications/democratic-governance-1.md,1,0.4,1,8320,0.40,3,2.0,1,0.842,1.5 day; 1.5 day; 0.5 day; 0.5 day; 0.5 day; 0.5 day; 0.5 day; 1 day; 1 day; 0.5 day; 1 month; 8 person day,OK,
DIA_Bridgestate,https://github.com/diadata-org/bridgestate-ocw,,2,,,,,,,0,,,OK,
Diffy_messenger_st1_ms1,https://github.com/Belsoft-rs/diffychat-pallet,,1,,,,,,,0,,,OK,
Diffy_messenger_st1_ms2,https://github.com/Belsoft-rs/diffychat-pallet,,1,,,,,,,0,,,OK,
DINFRA,,,2,,,,,,,,,,NO_REPO,
dipole-oracle-millestone,https://github.com/DipoleTech/dipole-oracle,github.com/w3f/Grants-Program/blob/master/applications/DipoleOracle.md,1,1.25,,1,,,1.84,1,,4 week; 4 week,OK,
distributed_cryptography_for_polkadot_wallets,https://github.com/perun-network/polkadot-wallet-grant,github.com/w3f/Grants-Program/blob/master/applications/distributed_cryptography_for_polkadot_wallets.md,3,1.25,7.25,87000,9.06,4,14.5,5,,7.25 month; 1.5 month; 1.5 month; 2 month; 1.5 month; 0.75 month,OK,
distributedKeyManagement,https://github.com/KryptikApp/swordExample,github.com/w3f/Grants-Program/blob/master/applications/DistributedKeyManagement.md,1,.4,3,8000,1.20,,6.3,2,,3 month; 10 week; 1 month,OK,
DistrubutedKeyManagement,https://github.com/KryptikApp/sword,,1,,,,,,,0,,,OK,
DKSAP,https://github.com/GreenLemonProtocol/dksap-polkadot,github.com/w3f/Grants-Program/blob/master/applications/DKSAP.md,1,1,,10000,,6,2.76,1,,6 week; 6 week,OK,
dora-factory-multisig,https://github.com/DoraFactory/dorafactory-multisig,github.com/w3f/Grants-Program/blob/master/applications/dora-factory-multisig.md,1,2,1,10000,2.00,1,1.92,1,,1 month; 4 week,OK,
Doter,https://github.com/ChainBridgeNetworkTeam/Doter,github.com/w3f/Grants-Program/blob/master/applications/Doter.md,2,,,,,2,,0,,2 month; 1 month; 1 month,OK,
dotflow,https://github.com/TheDotflow/dotflow-ink,github.com/w3f/Grants-Program/blob/master/applications/Dotflow.md,2,1.5,,19000,,2,1.0,2,,5 month; 1 month; 5 month,OK,
dot-login,https://github.com/singkeo/dot-login,github.com/w3f/Grants-Program/blob/master/applications/dot-login.md,1,3,6,17000,18.00,3,14.0,3,,6 month; 6 month; 1 month; 1 month,OK,
dotly,https://github.com/justmert/dotly-backend,github.com/w3f/Grants-Program/blob/master/applications/dotly.md,1,1,2,10000,2.00,1,4.0,1,,2 month; 2 month; 7 day,OK,
dot_marketplace,https://github.com/WowLabz/dot_marketplace_docker,github.com/w3f/Grants-Program/blob/master/applications/dot_marketplace.md,3,5.9125,2,18920,11.82,7,3.84,3,,2 month; 2 week; 3 week; 3 week,OK,
dot_marketplace-Phase3,https://github.com/WowLabz/dot-marketplace-v2,github.com/w3f/Grants-Program/blob/master/applications/dot_marketplace-Phase3.md,3,2.39,2.0,29925,4.78,5,3.84,2,,2.0 Month; 3.0 week; 2.0 week; 3.0 week,OK,
dot_marketplace_v2,https://github.com/WowLabz/dot-marketplace-v2,github.com/w3f/Grants-Program/blob/master/applications/dot_marketplace-Phase3.md,2,2.39,2.0,29925,4.78,5,3.84,2,,2.0 Month; 3.0 week; 2.0 week; 3.0 week,OK,
dotmog,https://github.com/dotmog/SubstrateNetApi,github.com/w3f/Grants-Program/blob/master/applications/ajuna_network_follow_up.md,3,1,4,25,4.00,6,8.0,4,,4 month; 1 month; 1 month; 1 month; 1 month,OK,
dotnix,https://github.com/sporyon/dotnix-core,github.com/w3f/Grants-Program/blob/master/applications/dotnix-follow-up.md,2,2,,30000,,4,1.84,2,,4 week; 4 week,OK,
dotnix_followup,https://github.com/sporyon/dotnix-core,github.com/w3f/Grants-Program/blob/master/applications/dotnix-follow-up.md,2,2,,30000,,4,1.84,2,,4 week; 4 week,OK,
DotPay,https://github.com/bytepayment/bytepay,github.com/w3f/Grants-Program/blob/master/applications/DotPay.md,2,5,,30000,,11,3.68,2,,8 week; 4 week; 4 week,OK,
dotpulse,https://github.com/CrossChainLabs-DOT/dotpulse-api,github.com/w3f/Grants-Program/blob/master/applications/DotPulse.md,2,3,,42000,,4,3.68,2,,12 month; 30 day; 8 week; 4 week; 30 day; 4 week; 30 day; 12 month; 30 day; 30 day; 12 month; 30 day,OK,
eiger-PNS,https://github.com/eigerco/polkadot-native-storage,,1,,,,,,,0,,,OK,
eightfish,https://github.com/eightfish-org/eightfish,github.com/w3f/Grants-Program/blob/master/applications/index.md,2,,,,,,,0,,,OK,
ElasticLabs_PolakdotAgentKit,https://github.com/elasticlabs-org/polkadot-agent-kit,github.com/w3f/Grants-Program/blob/master/applications/polkadot_agent_kit.md,3,2,3,30000,6.00,6,8.0,5,,3 month; 1 month; 1 month; 1 month; 1 month; 1 month,OK,
eliza-plugin-dot,https://github.com/ChainSupport/eliza-plugin-dot,github.com/w3f/Grants-Program/blob/master/applications/eliza-plugin-dot.md,1,1.5,1,10000,1.50,1,2.0,1,,1 month; 1 month,OK,
ElizaPolkadotPlugin,https://github.com/elizaOS/eliza,github.com/w3f/Grants-Program/blob/master/applications/eliza-plugin-dot.md,1,1.5,1,10000,1.50,1,2.0,1,,1 month; 1 month,OK,
epirus_substrate_explorer,https://github.com/web3labs/epirus-substrate,github.com/w3f/Grants-Program/blob/master/applications/hybrid.md,1,1,,10000,,1,5.52,3,,12 week; 6 week; 3 week; 3 week,OK,
epirus_substrate_explorer-phase2,https://github.com/web3labs/epirus-substrate,github.com/w3f/Grants-Program/blob/master/applications/hybrid.md,1,1,,10000,,1,5.52,3,,12 week; 6 week; 3 week; 3 week,OK,
epirus_substrate-phase2,https://github.com/web3labs/epirus-substrate,github.com/w3f/Grants-Program/blob/master/applications/hybrid.md,1,1,,10000,,1,5.52,3,,12 week; 6 week; 3 week; 3 week,OK,
escrow,https://github.com/herou/EscrowPallet,github.com/w3f/Grants-Program/blob/master/applications/decentralized_invoice.md,2,,3,,,2,3.0,0,,6 month; 3 month; 1 month; 1 month; 1 month,OK,
Evanesco_Network,https://github.com/Evanesco-Labs/WhiteNoise.rs,github.com/w3f/Grants-Program/blob/master/applications/evanesco_networks.md,2,3,3,1,9.00,2,9.0,0,,3 month; 3 month; 3 month,OK,
Faceless,https://github.com/HeisenbergLin22/Faceless_milestone2_delivery,github.com/w3f/Grants-Program/blob/master/applications/faceless.md,1,3,2,30000,6.00,3,4.0,2,,2 month; 1 month; 1 month,OK,
faceless_delivery,https://github.com/HeisenbergLin22/Faceless_milestone1,github.com/w3f/Grants-Program/blob/master/applications/faceless.md,1,3,2,30000,6.00,3,4.0,2,,2 month; 1 month; 1 month,OK,
fair_squares,https://github.com/Fair-Squares/fair-squares,github.com/w3f/Grants-Program/blob/master/applications/Dotflow.md,5,1.5,,19000,,2,1.0,2,,5 month; 1 month; 5 month,OK,
faterium,https://github.com/faterium/faterium-node,github.com/w3f/Grants-Program/blob/master/applications/faterium.md,2,5,,30000,,5,3.22,2,,3 day; 7 week; 4 week; 3 week,OK,
Faucet,https://github.com/karooolis/sybil-resistant-substrate-faucet,github.com/w3f/Grants-Program/blob/master/applications/Faucet.md,1,1,1,4000,1.00,1,2.0,1,,1 month; 1 month,OK,
faucet-bot,https://github.com/StringNick/sybil-resistant-chat-bot-substrate-faucet,github.com/w3f/Grants-Program/blob/master/applications/faucet-bot.md,1,1.5,1.5,7500,2.25,1,3.0,1,,1.5 month; 1.5 month,OK,
fennel-protocol,https://github.com/fennelLabs/Fennel-Protocol,github.com/w3f/Grants-Program/blob/master/applications/Fennel_Protocol.md,3,3,3,50000,9.00,6,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
FIAT-on-off-ramp,https://github.com/element36-io/ebics-java-service,github.com/w3f/Grants-Program/blob/master/applications/hyperfridge.md,3,1.5,6,,9.00,4,24.0,7,,6 month; 2 month; 1 month; 1 month; 1 month; 5 month; 6 month; 2 month,OK,
fidi-dotsight,https://github.com/fidi-tech/dotsight,github.com/w3f/Grants-Program/blob/master/applications/fidi-dotsight-analytics.md,3,3.5,,17500,,5,,3,,2 week,OK,
fractapp,https://github.com/fractapp/fractapp,github.com/w3f/Grants-Program/blob/master/applications/fractapp.md,3,3.5,3,1,10.50,2,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
FuturProtocol,https://github.com/RELAI-Network/relai-network,github.com/w3f/Grants-Program/blob/master/applications/FuturFusion.md,1,1,,7000,,1,,1,,5 Month; 5 month,OK,
Gafi,https://github.com/cryptoviet/gafi,github.com/w3f/Grants-Program/blob/master/applications/index.md,3,,,,,,,0,,,OK,
galaxy,https://github.com/7flash/galaxy-polkadot,github.com/w3f/Grants-Program/blob/master/applications/galaxy.md,2,1,1,10000,1.00,,1.92,0,,1 month; 1 week; 3 week,OK,
GenesisDAO,https://github.com/deep-ink-ventures/genesis-dao-node,github.com/w3f/Grants-Program/blob/master/applications/Stylograph.md,3,3,,100000,,,5.0,2,,5 month; 3 month; 2 month,OK,
gluon,https://github.com/tearust/gluon-website,github.com/w3f/Grants-Program/blob/master/applications/Gluon_decentralized_hardware_crypto_wallet_services.md,2,2.5,5,28,12.50,7,9.6,5,,3 month; 1 month; 5 month; 4 Week; 4 Week; 4 Week; 4 Week; 4 Week,OK,
grant_management_webapp,https://github.com/antiers-solutions/gmw-frontend,github.com/w3f/Grants-Program/blob/master/docs/RFPs/grant_management_webapp.md,1,,,,,,,0,,,OK,
grantmaster,https://github.com/Zaniyar/grantmaster,github.com/w3f/Grants-Program/blob/master/applications/grantmaster.md,1,0.6,5,10000,3.00,1,12.0,2,,5 month; 5 month; 2 month,OK,
GreenLemon,https://github.com/GreenLemonProtocol/dksap-polkadot,github.com/w3f/Grants-Program/blob/master/applications/GreenLemon.md,2,2,,30000,,12,5.52,2,,12 week; 3 week; 9 week,OK,
halva_bootstrapping,https://github.com/halva-suite/halva,github.com/w3f/Grants-Program/blob/master/applications/halva_bootstrapping.md,1,1.5,,0,,,0.92,1,,2 week; 2 week,OK,
halva-framework,https://github.com/halva-suite/halva,github.com/w3f/Grants-Program/blob/master/applications/halva_bootstrapping.md,1,1.5,,0,,,0.92,1,,2 week; 2 week,OK,
hamster-millestone,https://github.com/hamster-shared/hamster,github.com/w3f/Grants-Program/blob/master/applications/hamster.md,2,4,2,25600,8.00,4,4.0,2,,2 month; 1 month; 1 month,OK,
hex-space-social-graph,https://github.com/rust-0x0/hex-space-protocol-substrate,github.com/w3f/Grants-Program/blob/master/applications/hex.md,1,1,1,3500,1.00,1,2.0,1,,1 month; 1 month,OK,
High_availability_validator_setup,https://github.com/tikv/tikv,github.com/w3f/Grants-Program/blob/master/applications/High_availability_validator_setup.md,3,1,,25000,,3,4.14,3,,4 week; 3 week; 2 week; 9 week; 4 week; 3 week; 2 week,OK,
hs-web3,https://github.com/airalab/hs-web3,github.com/w3f/Grants-Program/blob/master/applications/hs-web3.md,4,0.4,,2,,,7.13,4,,16 week; 3 week; 6 week; 3 week; 3 week,OK,
hybrid,https://github.com/hybrid-explorer/hybrid-indexer,github.com/w3f/Grants-Program/blob/master/applications/hybrid2.md,3,1,,10000,,,5.52,4,,12 week; 3 week; 3 week; 3 week; 3 week,OK,
hybrid2,https://github.com/hybrid-explorer/hybrid-indexer,github.com/w3f/Grants-Program/blob/master/applications/hybrid2.md,4,1,,10000,,,5.52,4,,12 week; 3 week; 3 week; 3 week; 3 week,OK,
hybrid-node-research,https://github.com/Zondax/mayon,github.com/w3f/Grants-Program/blob/master/docs/RFPs/alternative_polkadot_host_implementations.md,1,,,,,,,0,,,OK,
Hyperdot,https://github.com/Infra3-Network/hyperdot-node,github.com/w3f/Grants-Program/blob/master/applications/Hyperdot.md,2,,,,,3,1.15,1,,3 month; 5 week; 7 week,OK,
hyperfridge,https://github.com/element36-io/hyperfridge-r0,github.com/w3f/Grants-Program/blob/master/applications/hyperfridge.md,5,1.5,6,,9.00,4,17.0,6,,6 month; 2 month; 1 month; 1 month; 1 month; 5 month; 3 hour; 1 month,OK,
idavoll_network,https://github.com/idavollnetwork/idavoll,github.com/w3f/Grants-Program/blob/master/applications/Idavoll Network.md,1,,,,,3,,0,,4 week; 4 week,OK,
identics_identity_indexer,https://github.com/vikiival/identics,github.com/w3f/Grants-Program/blob/master/applications/multichain_identity_indexer.md,1,2,3,30000,6.00,2,6.0,1,,3 month; 3 month,OK,
identity_directory,https://github.com/Shard-Labs/identity-directory,github.com/w3f/Grants-Program/blob/master/docs/RFPs/identity-directory.md,2,,,,,,,0,,,OK,
imbue_network,https://github.com/imbuenetwork/imbue,github.com/w3f/Grants-Program/blob/master/applications/RegionX.md,2,,4,30000,,2,6.5,3,,4 month; 1 month; 1.5 month,OK,
infimum,https://github.com/rhysbalevicius/infimum,github.com/w3f/Grants-Program/blob/master/applications/infimum.md,2,0,6,27000,0.00,1,17.0,3,,6 month; 2 month; 6 month; 3 month,OK,
ink-analyzer,https://github.com/ink-analyzer/ink-analyzer,github.com/w3f/Grants-Program/blob/master/applications/ink-analyzer-phase-2.md,4,1,,59600,,1,,7,,8.5 month; 6 week; 4 week; 6 week; 6 week; 4 week; 4 week; 4 week,OK,
ink-analyzer-phase,https://github.com/ink-analyzer/ink-analyzer,github.com/w3f/Grants-Program/blob/master/applications/ink-analyzer-phase-2.md,7,1,,59600,,1,,7,,8.5 month; 6 week; 4 week; 6 week; 6 week; 4 week; 4 week; 4 week,OK,
ink-boxes,https://github.com/nerdsince98/ink-boxes,github.com/w3f/Grants-Program/blob/master/applications/ink-boxes.md,2,,,5000,,1,2.76,0,,4 week; 2 week; 2 week; 2 week; 2 week,OK,
ink-explorer,https://github.com/blockcoders/ink-substrate-explorer-api,github.com/w3f/Grants-Program/blob/master/applications/xcm-sdk.md,2,2,3,30000,6.00,3,6.0,2,,3 month; 2 month; 1 month,OK,
