category,group,project,ecosystem,period,hours,PM_152,retroactive,verification,source_url
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-09,139,0.91,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202109.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2020-11,136,0.89,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202011.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-08,136,0.89,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202108.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-05,132,0.87,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202105.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-02,130,0.86,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202102.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-04,128,0.84,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202104.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2023-Q4,127,0.84,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2023Q4.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2022-Q1,92,0.61,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2022Q1.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2022-Q3,91,0.6,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2022Q3.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2024-Q1,65,0.43,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2024Q1.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2022-Q2,59,0.39,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2022Q2.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q2 2023 Kusama,Polkadot/Kusama,2023-Q2,87,0.57,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q2-kusama-maintenance-innovation.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q2 2023 Polkadot,Polkadot/Kusama,2023-Q2,62,0.41,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q2-polkadot.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q3 2023 Kusama,Polkadot/Kusama,2023-Q3,45,0.3,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q3-kusama.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q3 setup+maint,Polkadot/Kusama,2022-Q3,38,0.25,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/Q3-setup-maintenance.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q3 2023 Kusama-2,Polkadot/Kusama,2023-Q3,30,0.2,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q3-kusama-2.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q1 2023 maint,Polkadot/Kusama,2023-Q1,27,0.18,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q1-maintenance.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q3 2023 Polkadot,Polkadot/Kusama,2023-Q3,18,0.12,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q3-polkadot.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q4 maint,Polkadot/Kusama,2022-Q4,18,0.12,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/Q4-maintenance.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q4 Kusama,Polkadot/Kusama,2023-Q4,12,0.08,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/2023-Q4.kusama.md
C_infra_ops,Stakeworld,Stakeworld RPC/bootnode/snapshot — Q4 RPC setup,Polkadot/Kusama,2022-Q4,8,0.05,Y,source-verified,https://github.com/stakeworld/stakeworld-treasury/blob/master/Q4-RPC-setup-maintenance.md
